x,y,time,value
110,132,0,1
113,128,42,1
111,132,435,1
114,129,1758,1
115,130,2016,1
113,125,2234,1
115,120,2282,1
117,113,2340,1
118,110,2346,1
120,107,2362,1
122,104,2386,1
121,114,2858,1
117,117,3281,1
111,120,3468,1
108,118,3652,1
104,118,3919,1
101,120,4046,1
98,125,4177,1
95,129,4519,1
94,133,4722,1
94,137,4810,1
98,142,4990,1
102,145,5211,1
105,149,5395,1
107,153,5523,1
111,154,5708,1
115,155,5821,1
119,155,5942,1
124,152,6020,1
128,149,6187,1
132,147,6322,1
136,144,6454,1
139,139,6540,1
142,135,6624,1
143,131,6677,1
143,128,6717,1
143,123,6805,1
141,119,6917,1
140,115,7685,1
138,111,7905,1
134,108,8053,1
130,104,8432,1
129,101,8450,1
125,100,8582,1
121,96,8782,1
117,94,8958,1
113,93,9078,1
109,91,9182,1
105,91,9270,1
101,90,9407,1
97,88,9472,1
93,85,9546,1
90,84,9588,1
86,86,9952,1
82,88,10025,1
78,91,10091,1
74,95,10146,1
72,98,10210,1
69,102,10219,1
65,104,10283,1
63,107,10343,1
62,111,10411,1
61,114,10473,1
61,119,10507,1
60,123,10611,1
59,128,10635,1
58,133,10742,1
57,137,10821,1
59,143,10968,1
61,148,11020,1
62,152,11101,1
61,156,11151,1
61,161,11221,1
62,165,11309,1
63,168,11437,1
66,172,11550,1
70,174,11677,1
74,177,11809,1
77,181,11945,1
80,182,12006,1
84,184,12119,1
88,184,12224,1
92,184,12254,1
96,182,12310,1
101,180,12356,1
104,179,12366,1
108,175,12414,1
108,178,12534,1
106,184,12621,1
106,188,12798,1
111,190,12886,1
115,190,12934,1
119,191,13011,1
123,191,13055,1
127,191,13142,1
131,191,13190,1
136,190,13275,1
140,189,13326,1
144,189,13431,1
148,187,13449,1
152,184,13590,1
155,180,13726,1
159,178,13874,1
162,175,14168,1
165,171,14297,1
168,167,14441,1
172,163,14496,1
174,160,14551,1
176,156,14662,1
177,153,14697,1
179,149,14788,1
180,146,14817,1
182,141,14918,1
183,137,15009,1
183,134,15130,1
185,129,15219,1
187,125,15310,1
187,122,15371,1
186,118,15507,1
182,114,15853,1
181,110,15879,1
180,106,16005,1
180,102,16077,1
179,99,16126,1
178,94,16174,1
177,90,16255,1
175,87,16327,1
171,86,16433,1
166,85,16639,1
162,86,16809,1
159,91,17174,1
155,91,17311,1
159,80,18047,1
160,103,18439,1
184,94,18810,1
176,93,19077,1
178,89,19125,1
175,85,19317,1
171,87,19365,1
168,88,19389,1
169,85,19493,1
171,82,19509,1
172,79,19556,1
175,75,19564,1
177,72,19578,1
181,67,19618,1
195,53,19722,1
200,49,19740,1
170,98,20122,1
166,101,20148,1
166,98,20248,1
170,95,20320,1
172,92,20333,1
173,88,20506,1
169,89,20661,1
168,85,20813,1
169,81,20907,1
170,76,21061,1
168,72,21179,1
165,70,21309,1
163,65,21443,1
161,61,21653,1
157,59,21828,1
153,58,21960,1
149,59,22021,1
144,61,22097,1
140,64,22147,1
137,63,22516,1
138,60,22525,1
138,57,22565,1
134,54,22733,1
130,54,22845,1
126,52,22973,1
126,49,23035,1
122,49,23382,1
118,49,23530,1
114,50,23654,1
113,46,23863,1
109,46,24031,1
105,46,24167,1
101,46,24271,1
97,48,24375,1
93,50,24521,1
90,50,24575,1
86,53,24660,1
77,59,24806,1
73,61,24824,1
69,66,24940,1
70,63,25072,1
74,59,25104,1
76,55,25206,1
73,55,25272,1
69,56,25339,1
65,57,25375,1
61,61,25424,1
57,62,25497,1
54,65,25594,1
49,69,25726,1
46,73,25769,1
42,77,25817,1
40,80,25859,1
37,82,25868,1
36,85,25884,1
34,88,25917,1
29,95,26028,1
26,99,26042,1
26,103,26185,1
26,107,26241,1
26,110,26257,1
25,115,26299,1
25,119,26427,1
24,122,26441,1
24,127,26497,1
24,131,26641,1
24,134,26686,1
24,138,26761,1
23,143,26834,1
23,147,26914,1
23,151,26978,1
23,154,27026,1
23,159,27090,1
23,163,27138,1
24,168,27241,1
26,172,27274,1
28,177,27372,1
30,182,27466,1
31,186,27541,1
32,190,27626,1
32,193,27676,1
33,197,27738,1
37,200,27858,1
41,202,28018,1
45,202,28147,1
49,205,28235,1
53,208,28331,1
57,214,28486,1
58,218,28496,1
60,223,28571,1
64,224,28667,1
68,223,28772,1
72,221,28884,1
77,220,28957,1
81,221,29147,1
85,224,29301,1
89,225,29405,1
93,225,29469,1
97,224,29554,1
101,224,29602,1
105,223,29706,1
109,224,29723,1
113,223,29781,1
117,224,29861,1
122,223,29933,1
126,223,29997,1
130,223,30061,1
134,220,30133,1
138,219,30181,1
143,217,30232,1
147,215,30262,1
150,213,30286,1
155,211,30365,1
159,213,30510,1
163,212,30582,1
168,210,30654,1
173,207,30711,1
178,203,30759,1
182,199,30790,1
186,195,30846,1
196,187,30948,1
201,182,30966,1
203,179,30992,1
204,176,31032,1
207,172,31135,1
208,169,31224,1
